combination,indepent_prob,directe_cond_prob,inverse_cond_prob
2222,0.095363604,0.07542452709703291,0.09830724637605875,0.09848240469331965
3222,0.039124458,0.029342690911505567,0.03891545096348222,0.03886494768988276
2223,0.035488522,0.030932869421862616,0.034724368002402924,0.03476342110789304
2322,0.031863886,0.02807575510838016,0.03135542762988615,0.03126215153830639
2232,0.031827051,0.02791305904703609,0.03121108887694731,0.031154318104277667
1222,0.021416114,0.03181511601808883,0.02133991575506292,0.021371423895682785
1122,0.018313995,0.011710418533309792,0.018815697730304944,0.018759168712075915
2212,0.017709830,0.026321747242065492,0.01924706551280536,0.0192601724599805
4222,0.016299389,0.014175328764269229,0.0169191450388735,0.016805106351037994
2122,0.016023546,0.027762048061714995,0.01603990175612997,0.016045477229891972
2221,0.015898675,0.017675702637418578,0.01664784930490425,0.016659197434014048
2213,0.015780488,0.010794992050087564,0.013545321182481845,0.013564302260205637
2224,0.015301082,0.0134193569197566,0.01599882469017545,0.015955402115509606
1322,0.015166635,0.011842744534804033,0.015353738214671337,0.015290615108737247
1112,0.014941211,0.0040867167299044995,0.009190778718308463,0.009132947582090621
3223,0.014396189,0.012033931950066974,0.013745827393701816,0.013718984087431376
2242,0.013523266,0.014376286404647465,0.014112843398787617,0.01389921085473529
2132,0.013164525,0.010274160364524033,0.009831272818049897,0.00975079552603059
3322,0.013112404,0.010922417891894616,0.012401882531110438,0.012342330753325324
3232,0.012764355,0.01085912362377946,0.012355077000748182,0.012294693120129018
2422,0.012226324,0.012496980355404365,0.01272756326141518,0.012538672711569923
2233,0.010946378,0.011447615833983458,0.010649180844842204,0.010696640519448177
2323,0.010889039,0.011514340230074574,0.011075454231805636,0.011035264035735211
2332,0.010615468,0.010390256860638235,0.010174398159707313,0.010171753832222017
2211,0.009385553,0.006168489151406886,0.011109459397570248,0.011074150244292244
1111,0.008683339,0.0009577201536606946,0.0053049428722092146,0.005251231987017187
1223,0.007717398,0.013047915145200371,0.007537746352740319,0.007543924327137239
1123,0.007195327,0.004802639954244825,0.006646134809938111,0.0066218212644450465
3212,0.007189086,0.010240049534299103,0.007619054156895969,0.007600805417843729
2243,0.006808215,0.005895957286601969,0.006753496961982621,0.006802043052876734
4322,0.006639113,0.0052765734739629025,0.006666899978315148,0.0067029311273939796
3221,0.006458519,0.0068764458869754064,0.006590140474428131,0.006574360555518647
1232,0.006436091,0.011774117070150676,0.006775105923626414,0.00676072178031033
1132,0.006341966,0.004333783936958097,0.011532630340325836,0.011399898907898946
3213,0.006340251,0.004199616852888957,0.005361988069984857,0.005352995790814706
3122,0.006214403,0.010800375245273641,0.005760872097554053,0.005812936610359599
3224,0.006201305,0.0052205835088766665,0.006333220598227401,0.006296615832253223
4223,0.006119653,0.005813541172263611,0.005976229019460682,0.005932054468646517
2112,0.005904752,0.009688434785443723,0.007834904121921641,0.007811780187034492
2123,0.005640412,0.011385683684456093,0.005665660181057506,0.005663912082131364
2432,0.005630707,0.004624874215270679,0.005468437979517721,0.0054900744413909
2234,0.005604435,0.004966226723470614,0.005463219183259734,0.0053991090980171665
1422,0.005484680,0.005271400367833498,0.005687650519670439,0.005711639729520604
2312,0.005402582,0.009797912668941122,0.005660086890311179,0.0057185217841691114
3242,0.005381823,0.005592861429335295,0.0055866447844538,0.00548516361356254
1323,0.005360515,0.0048569090770736985,0.005423291523590521,0.005397452404610116
1113,0.005279890,0.0016760313897314473,0.0064681054664556805,0.0064320328277173095
4232,0.005246060,0.00524599628313429,0.005371576958937641,0.005316194610263904
2321,0.005220288,0.006579540074255705,0.005309887656463757,0.005288278208787885
2231,0.005157158,0.00654141232839795,0.005123268858295617,0.005227765512141361
2324,0.005026948,0.004995173229344041,0.005102879067704223,0.005064866159015618
2133,0.004928422,0.004213606279111832,0.0033544168416284616,0.0033478747367053346
3132,0.004872440,0.003996995719490954,0.0035309882892082182,0.003532506729547452
1332,0.004806578,0.004382755055973734,0.0049820735242368346,0.004975101366224006
2313,0.004707694,0.00401828907465688,0.003983344619418043,0.004027365701071131
2241,0.004691502,0.003369075992906138,0.004042356293597937,0.004107009033632796
3422,0.004681600,0.004861747842635296,0.004800144324035782,0.004804351912769814
2214,0.004671596,0.004683104218054699,0.0043557284525298536,0.004498465731766993
2342,0.004519614,0.005351377224355117,0.004495260625610518,0.004483511030160306
3233,0.004376989,0.004453509568022834,0.00421553537755927,0.004221306085492382
3323,0.004362770,0.004479467613848428,0.0043806285783397625,0.004356734005093314
