structure,probabilty
2222,0.09830724637605875
3222,0.03891545096348222
2223,0.034724368002402924
2322,0.03135542762988615
2232,0.03121108887694731
1222,0.02133991575506292
2212,0.01924706551280536
1122,0.018815697730304944
4222,0.0169191450388735
2221,0.01664784930490425
2122,0.01603990175612997
2224,0.01599882469017545
1322,0.015353738214671337
2242,0.014112843398787617
3223,0.013745827393701816
2213,0.013545321182481845
2422,0.01272756326141518
3322,0.012401882531110438
3232,0.012355077000748182
1132,0.011532630340325836
2211,0.011109459397570248
2323,0.011075454231805636
2233,0.010649180844842204
2332,0.010174398159707313
2132,0.009831272818049897
1112,0.009190778718308463
2112,0.007834904121921641
3212,0.007619054156895969
1223,0.007537746352740319
1232,0.006775105923626414
2243,0.006753496961982621
4322,0.006666899978315148
1123,0.006646134809938111
3221,0.006590140474428131
1113,0.0064681054664556805
3224,0.006333220598227401
4223,0.005976229019460682
3122,0.005760872097554053
1422,0.005687650519670439
2123,0.005665660181057506
2312,0.005660086890311179
3242,0.0055866447844538
2113,0.005513894712665269
2432,0.005468437979517721
2234,0.005463219183259734
1323,0.005423291523590521
4232,0.005371576958937641
3213,0.005361988069984857
2321,0.005309887656463757
1111,0.0053049428722092146
2231,0.005123268858295617
2324,0.005102879067704223
1332,0.0049820735242368346
3422,0.004800144324035782
2111,0.004522328308615888
2423,0.004495666461581169
2342,0.004495260625610518
3211,0.0043977391123654645
3323,0.0043806285783397625
2214,0.0043557284525298536
1142,0.004259109710492051
3233,0.00421553537755927
1212,0.004178031342717688
2241,0.004042356293597937
3332,0.004024237599016744
2313,0.003983344619418043
1133,0.003934917701687568
2142,0.0036307822491663966
1221,0.0036138099149948177
3132,0.0035309882892082182
1224,0.0034729237533756294
2333,0.0034714907389911697
4122,0.0033898327900637694
2133,0.0033544168416284616
4212,0.0033125115898186707
2311,0.0032670177930654593
1121,0.003186345991042129
1242,0.0030635268537830625
1124,0.003062124721294116
1213,0.002940332717729616
2442,0.002895919395268772
2244,0.0028835710506665804
4221,0.0028651741083003247
3112,0.002813974875235133
1312,0.002771561383627876
4224,0.002753473882780939
2121,0.002716278577064812
3243,0.002673408009524571
2124,0.0026103831172557034
4422,0.002605397624668078
1321,0.002600080151640248
2412,0.0025745287169711556
1324,0.002498714744747407
1432,0.0024437171104291357
4242,0.0024288875253568975
1211,0.002411571235771864
4323,0.0023549015643937977
4213,0.002331214250553437
1233,0.002311656876442695
3312,0.0022387107443755916
1342,0.00220118365684666
4332,0.002163315891302633
3234,0.0021626446275955905
2421,0.002155350322641906
2343,0.0021511419152421643
3321,0.0021001978906545027
1114,0.002079929344949119
4132,0.0020777166514721226
2424,0.0020713229274428053
3432,0.0020623972546497497
1143,0.0020381353124792516
3123,0.0020348717933265105
3231,0.00202807346739287
1134,0.002018682768714532
3324,0.0020183206402138265
1423,0.0020090082572203215
3113,0.0019803638876344488
1313,0.0019505149547720047
4211,0.0019119908427904324
1131,0.0018930696750047349
2433,0.0018658235607313263
4233,0.00183277471296315
2413,0.0018118511802069667
2334,0.001780936494185914
3342,0.0017779918323426193
2114,0.001773086644506536
2143,0.001737458299258968
3214,0.0017242384793919954
2134,0.0017208755025237517
1333,0.001699876673674308
