combination,indepent_prob,directe_cond_prob,inverse_cond_prob
2222,0.095363604,0.01993907690296709,0.00294364237605875,0.0031188006933196427
3222,0.039124458,0.009781767088494434,0.00020900703651777902,0.0002595103101172419
2223,0.035488522,0.0045556525781373855,0.0007641539975970779,0.000725100892106964
2322,0.031863886,0.003788130891619841,0.0005084583701138526,0.0006017344616936135
2232,0.031827051,0.003913991952963911,0.0006159621230526907,0.0006727328957223354
1222,0.021416114,0.010399002018088833,7.619824493708058e-05,4.4690104317214596e-05
1122,0.018313995,0.006603576466690207,0.0005017027303049447,0.0004451737120759157
2212,0.017709830,0.008611917242065493,0.001537235512805362,0.0015503424599805013
4222,0.016299389,0.0021240602357307722,0.0006197560388735007,0.0005057173510379931
2122,0.016023546,0.011738502061714996,1.6355756129970284e-05,2.1931229891972853e-05
2221,0.015898675,0.0017770276374185767,0.0007491743049042494,0.0007605224340140465
2213,0.015780488,0.004985495949912435,0.002235166817518154,0.002216185739794362
2224,0.015301082,0.0018817250802434012,0.0006977426901754492,0.0006543201155096053
1322,0.015166635,0.0033238904651959663,0.00018710321467133723,0.0001239801087372476
1112,0.014941211,0.0108544942700955,0.005750432281691536,0.005808263417909378
3223,0.014396189,0.002362257049933026,0.0006503616062981839,0.0006772049125686238
2242,0.013523266,0.0008530204046474643,0.0005895773987876166,0.0003759448547352891
2132,0.013164525,0.0028903646354759664,0.0033332521819501026,0.0034137294739694096
3322,0.013112404,0.0021899861081053837,0.0007105214688895613,0.0007700732466746751
3232,0.012764355,0.0019052313762205394,0.000409277999251818,0.0004696618798709813
2422,0.012226324,0.000270656355404365,0.00050123926141518,0.00031234871156992326
2233,0.010946378,0.0005012378339834585,0.0002971971551577954,0.00024973748055182217
2323,0.010889039,0.000625301230074574,0.000186415231805636,0.0001462250357352115
2332,0.010615468,0.00022521113936176465,0.00044106984029268666,0.00044371416777798205
2211,0.009385553,0.0032170638485931134,0.0017239063975702483,0.0016885972442922444
1111,0.008683339,0.007725618846339305,0.0033783961277907854,0.003432107012982813
