aa,alpha_aa1,ppii_aa1,beta_aa1,remaining_aa1
aa_2alpha,0.4257955381356424,0.36420017947527694,0.13194201247111348,0.07806226991796716
aa_2ppii,0.12175792590426324,0.5610769498585056,0.2214225614631948,0.09574256277403626
aa_2beta,0.2330956501576237,0.47657151045439355,0.18815094036098515,0.10218189902699759
aa_2remaining,0.22282725620217858,0.48916916490647816,0.1874313866505092,0.10057219224083414
independent_population,0.21103481858973194,0.5003031069913044,0.19463482232544543,0.09402725209351814
