aa,alpha_aa4,ppii_aa4,beta_aa4,remaining_aa4
aa_3alpha,0.23021172328338957,0.3988403000797952,0.28068798131870826,0.09025999531810691
aa_3ppii,0.10048298704879,0.5933622766213844,0.20958912808244803,0.09656560824737759
aa_3beta,0.09768513968801099,0.5951004448698409,0.20304745801245577,0.1041669574296924
aa_3remaining,0.14544895495755594,0.5077974762106577,0.24299913319988564,0.10375443563190068
independent_population,0.12859502945248402,0.5487317524198367,0.22504413747793164,0.09762908064974762
