aa,alpha_aa2,ppii_aa2,beta_aa2,remaining_aa2
aa_1alpha,0.39102920895930304,0.3025928425133442,0.21575331401875902,0.0906246345085937
aa_1ppii,0.14060847275356073,0.5879933269981096,0.18585617174477165,0.08554202850355808
aa_1beta,0.12981075543677523,0.5983035647269459,0.18895767197493898,0.08292800786133991
aa_1remaining,0.15811297825997556,0.5384491987364509,0.21026532293091427,0.0931725000726592
aa_3alpha,0.29411161651977086,0.47069551859825415,0.16453489659406176,0.07065796828791326
aa_3ppii,0.14174761083760778,0.5647282084883388,0.2110542256460722,0.08246995502798116
aa_3beta,0.23308187505047107,0.48339753541397384,0.1858131192470428,0.09770747028851223
aa_3remaining,0.20169868310625885,0.4942025883527736,0.187684092892199,0.11641463564876853
independent_population,0.19311478290689332,0.5246583805279537,0.1952969514586671,0.08692988510648592
