aa,alpha_aa3,ppii_aa3,beta_aa3,remaining_aa3
aa_2alpha,0.27924792896125195,0.38427053105270925,0.23484146555668126,0.10164007442935752
aa_2ppii,0.16404382715988924,0.5631965708623323,0.17828427861692223,0.09447532336085629
aa_2beta,0.15262085305020753,0.5683064806451612,0.1838688953314848,0.09520377097314647
aa_2remaining,0.1508293854160136,0.5012017599990933,0.21471395484481084,0.1332548997400823
aa_4alpha,0.32607968155251643,0.40885374865412655,0.14988737640327363,0.11517919339008331
aa_4ppii,0.13290385837408467,0.56641747556035,0.2093299160791481,0.09134874998641718
aa_4beta,0.2282271274535096,0.4875205160066946,0.17524790613691252,0.10900445040288331
aa_4remaining,0.17447078933883015,0.5157825504597697,0.20389944529191256,0.10584721490948756
independent_population,0.182744707734788,0.5236519078169021,0.19379275131791032,0.09981063313039962
